rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Basalt,-122.4240,45.8248,51.53,1.10,21.92,7.30,0.15,3.27,11.20,3.01,0.38,0.15
Basaltic andesite,-122.4070,45.8237,54.90,1.72,15.31,11.79,0.22,3.85,7.83,3.56,0.64,0.18
Basalt,-122.4180,45.8243,51.32,1.06,22.50,7.01,0.14,3.15,11.48,2.84,0.36,0.14
Basaltic andesite,-122.4210,45.8190,54.93,1.50,16.50,9.41,0.18,4.18,9.27,3.01,0.77,0.26
Basaltic andesite,-122.4140,45.8223,55.21,1.32,17.68,8.97,0.17,3.85,8.41,3.50,0.66,0.22
Basaltic andesite,-122.4080,45.8537,52.31,1.34,17.30,9.89,0.18,4.95,10.30,2.98,0.58,0.17
Basaltic andesite,-122.5000,45.8712,52.44,1.26,20.07,8.69,0.17,3.51,10.02,3.19,0.47,0.16
Basalt,-122.4400,45.8360,51.43,1.52,17.29,10.95,0.20,4.93,10.10,3.03,0.43,0.13
Basaltic andesite,-122.4690,45.8318,55.31,1.68,15.32,11.57,0.23,3.57,7.55,3.87,0.71,0.19
Basaltic andesite,-122.3970,45.8333,53.92,1.61,17.53,9.88,0.19,3.58,8.78,3.71,0.60,0.21
Basaltic andesite,-122.4040,45.8343,54.29,1.88,15.59,11.43,0.20,3.85,8.01,3.86,0.66,0.24
Basaltic andesite,-122.4180,45.7740,52.26,1.46,19.43,9.30,0.15,3.45,10.21,3.16,0.43,0.14
Basaltic andesite,-122.4350,45.7837,52.22,1.91,15.80,11.99,0.23,4.72,9.05,3.37,0.52,0.19
Basaltic andesite,-122.4180,45.7910,52.44,1.56,16.27,11.89,0.20,4.74,8.92,3.32,0.50,0.16
Basaltic andesite,-122.4130,45.7948,53.76,1.66,15.14,12.55,0.25,3.99,8.39,3.53,0.57,0.15
Basaltic andesite,-122.4480,45.7958,52.17,1.55,16.29,11.93,0.22,4.77,9.21,3.31,0.40,0.16
Basaltic andesite,-122.3870,45.7847,52.63,1.61,15.84,12.21,0.22,4.72,8.72,3.35,0.53,0.17
Basalt,-122.3900,45.7950,51.85,1.29,18.91,8.79,0.15,4.95,10.52,2.94,0.43,0.16
Basaltic andesite,-122.3770,45.7785,55.89,1.58,16.34,10.17,0.23,3.48,7.63,3.80,0.65,0.21
Basaltic andesite,-122.3770,45.7658,53.33,1.59,15.83,11.60,0.22,4.58,8.92,3.42,0.34,0.17
Basaltic andesite,-122.3750,45.7592,52.95,1.36,17.30,10.46,0.19,4.64,9.47,3.04,0.47,0.13
Basaltic andesite,-122.3810,45.8007,52.32,1.58,16.04,12.04,0.22,4.61,9.31,3.24,0.48,0.15
Basaltic andesite,-122.4263,45.8078,52.89,1.27,17.73,8.99,0.16,4.98,10.36,2.88,0.52,0.21
Basalt,-122.3940,45.8117,50.67,0.88,21.02,7.78,0.14,4.70,11.93,2.37,0.41,0.11
Basalt,-122.3970,45.8092,50.39,1.33,17.44,10.37,0.21,6.66,10.55,2.64,0.24,0.17
Basalt,-122.3890,45.8242,51.25,1.44,17.98,11.14,0.19,4.32,10.28,2.95,0.29,0.14
Basaltic andesite,-122.3910,45.7668,52.20,1.72,15.55,12.61,0.23,4.86,9.01,3.18,0.47,0.16
Basaltic andesite,-122.4030,45.7585,52.56,1.97,17.47,10.58,0.21,3.81,9.43,3.35,0.43,0.19
Basaltic andesite,-122.3790,45.7708,54.83,1.44,17.20,9.71,0.17,3.50,9.30,3.03,0.61,0.20
Basaltic andesite,-122.3830,45.8253,54.26,1.53,17.08,9.76,0.19,4.08,8.54,3.63,0.59,0.34
Basalt,-122.3840,45.8227,51.88,1.81,14.90,12.85,0.24,5.01,9.63,3.08,0.43,0.16
Basalt,-122.3990,45.8323,50.17,1.84,16.40,11.86,0.21,5.57,10.28,2.94,0.46,0.27
Basaltic andesite,-122.4020,45.8305,54.59,1.84,15.59,11.27,0.19,3.88,7.91,3.85,0.64,0.23
Basaltic andesite,-122.4110,45.8325,55.37,1.57,16.73,9.56,0.18,3.70,8.19,3.73,0.62,0.35
Basaltic andesite,-122.3770,45.8237,54.12,1.41,17.70,9.25,0.18,4.04,9.23,3.24,0.61,0.22
Basaltic andesite,-122.3840,45.8308,54.69,1.84,15.54,11.31,0.21,3.82,7.90,3.82,0.65,0.23
Basaltic andesite,-122.4180,45.8347,53.96,1.47,17.20,9.55,0.19,4.23,8.94,3.56,0.58,0.32
Basaltic andesite,-122.4430,45.8398,54.76,1.86,16.27,10.01,0.20,4.21,8.14,3.70,0.63,0.22
Basaltic andesite,-122.4260,45.8393,52.95,1.28,18.08,9.19,0.16,4.91,9.62,3.01,0.63,0.19
Basaltic andesite,-122.4130,45.7525,52.28,1.70,15.82,12.00,0.23,4.83,9.32,3.26,0.40,0.15
Basalt,-122.4070,45.7600,51.40,1.29,20.35,9.19,0.17,3.62,10.47,3.04,0.35,0.13
Basalt,-122.4380,45.7627,51.96,1.55,19.04,9.34,0.17,3.95,10.10,3.16,0.53,0.20
Basalt,-122.4640,45.8362,51.56,1.57,16.91,11.44,0.20,4.82,9.90,3.06,0.40,0.14
Basaltic andesite,-122.4290,45.7583,52.77,1.67,15.65,12.25,0.25,4.58,9.07,3.28,0.33,0.16
Basaltic andesite,-122.4370,45.8292,56.92,1.62,15.76,10.59,0.24,2.96,6.88,4.15,0.67,0.22
Basaltic andesite,-122.4450,45.7732,53.18,1.73,15.24,12.53,0.23,4.59,8.44,3.30,0.57,0.19
Basalt,-122.4150,45.7740,51.24,1.95,16.32,12.20,0.23,5.04,9.35,3.10,0.37,0.20
Basalt,-122.3860,45.8413,51.33,1.10,20.53,7.64,0.15,4.71,11.24,2.88,0.28,0.12
Basaltic andesite,-122.4120,45.8013,54.46,1.52,16.97,9.09,0.18,4.38,9.37,3.03,0.73,0.26
Basaltic andesite,-122.3920,45.8187,55.11,1.48,16.36,9.33,0.20,4.56,8.72,3.04,0.94,0.26
Basaltic andesite,-122.4710,45.8398,52.91,1.53,16.66,11.20,0.21,4.46,9.05,3.26,0.55,0.18
Andesite,-122.4730,45.8397,57.17,1.64,15.93,10.06,0.22,3.26,6.71,4.05,0.74,0.22
Basaltic andesite,-122.4120,45.8377,54.53,1.63,17.65,9.27,0.18,3.54,8.79,3.60,0.58,0.21
Basaltic andesite,-122.4260,45.8417,54.78,1.51,17.31,8.81,0.19,4.07,8.96,3.34,0.79,0.24
Basaltic andesite,-122.4320,45.8442,52.24,2.08,15.54,12.35,0.23,4.65,8.83,3.30,0.57,0.21
Basalt,-122.4370,45.8495,50.79,1.10,21.79,7.96,0.15,3.45,11.45,2.83,0.37,0.11
Basaltic andesite,-122.3805,45.8122,55.15,1.73,15.52,11.11,0.23,4.08,7.74,3.62,0.64,0.18
Basaltic andesite,-122.3830,45.8158,53.69,1.32,18.72,9.22,0.18,3.67,9.24,3.31,0.51,0.15
Basaltic andesite,-122.4540,45.8208,55.64,1.69,15.66,10.98,0.23,3.64,7.63,3.68,0.67,0.18
Dacite,-122.4540,45.8230,63.08,1.14,16.68,5.98,0.15,1.81,4.98,4.87,1.03,0.28
Basaltic andesite,-122.4060,45.8247,56.65,1.67,15.14,11.32,0.23,3.25,6.84,3.88,0.80,0.22
Basaltic andesite,-122.4110,45.8262,52.11,1.55,16.87,11.11,0.21,4.85,9.65,3.06,0.43,0.15
Dacite,-122.4510,45.8255,63.02,1.17,16.71,5.96,0.16,1.66,5.07,4.94,1.03,0.28
Basaltic andesite,-122.4440,45.7938,52.80,1.68,15.88,11.29,0.24,4.80,9.54,3.19,0.41,0.16
Basaltic andesite,-122.4330,45.7953,53.18,1.63,16.34,11.41,0.23,4.44,8.78,3.32,0.50,0.18
Basaltic andesite,-122.4290,45.8008,54.41,1.62,15.50,11.59,0.22,4.06,8.41,3.47,0.55,0.15
Basaltic andesite,-122.3940,45.7833,52.00,1.09,19.76,7.98,0.16,4.93,10.81,2.78,0.37,0.13
Basaltic andesite,-122.3950,45.7872,55.83,1.56,16.14,10.42,0.21,3.53,7.75,3.83,0.55,0.17
Basaltic andesite,-122.4010,45.8142,54.73,1.45,16.26,9.85,0.17,4.35,8.97,3.04,0.93,0.25
Basaltic andesite,-122.4090,45.8117,54.58,1.49,16.53,9.77,0.18,4.22,9.14,3.05,0.78,0.26
Basaltic andesite,-122.4520,45.7937,53.54,1.66,16.69,10.52,0.23,4.25,8.94,3.47,0.52,0.18
Basaltic andesite,-122.4460,45.8005,52.98,1.60,16.06,11.86,0.23,4.64,8.64,3.34,0.47,0.17
Basalt,-122.4500,45.7697,50.82,1.25,20.15,9.44,0.17,3.82,10.98,2.86,0.38,0.13
Basalt,-122.4370,45.7653,50.98,1.28,19.95,9.57,0.17,3.71,10.95,2.86,0.41,0.13
Quartz diorite,-122.4480,45.8602,58.73,0.98,17.02,6.63,0.11,4.20,7.19,3.83,1.15,0.18
Quartz diorite,-122.4400,45.8482,59.32,1.01,17.19,6.11,0.11,3.99,7.20,3.74,1.15,0.19
Basalt,-122.4448,45.7155,50.65,1.14,21.09,8.64,0.16,3.75,11.39,2.72,0.35,0.11
